Wheat & Rye ,bread,cake,waffle,,,,,,,,,,,,,,,,,,,,,,,,Biscuit,,,,,,,,,Breadstick,Brioche,,,,,,,ÄŒesnica,Challah,Chapati,,,,,,,,,CrÃªpe,,Croutons,Crumpet,,,,,Dorayaki,muffin,Eggette,English muffin,Farl,Filone,Flatbread,FlatbrÃ¸d,Flatkaka,Focaccia,Fougasse,Green onion pancake,Hallulla,Hardebrood,Hardtack,Himbasha,Injera,Johnnycakeor Hoecake,Ka'ak,Kalach,Kaya toast,Khanom bueang,Khakhra,Khubz,Kifli,Kisra,Kulcha,Lagana,Lahoh,Laobing,Lavash,Lefse,Malooga,"Maltese bread
â€™â€™Ä_obÅ_ tal-Maltiâ€™â€™",Mantou,Markook,Marraqueta,Matzo,Melonpan,Miche,Michetta,,Mollete,bagel,Naan,Ngome,Obwarzanek krakowski,"Pain d'Epi
Wheat stalk bread",Pain de mieor PancarrÃ©,Pan dulce,Panbrioche,Pancake,Pandesal,Pandoro,Pane carasau,Pane di Altamura,Pane ticinese,Panettone,Panfocaccia,Papadum or Papad,Paratha,Parotta or Barotta,Paximathia,Peg bread,Penia,Piadina,Pistolet,Pita,Pizza,PogaÄça,Portuguese sweet bread,Potato bread,Potato pancake,Potbrood,Pretzel,Proja,Pumpernickel
Maize ,corn,Arepa,Banku,Battered sausage,Binaki,Binatog,Bulz,Cachapa,Chimodho,Champurrado,Chipa Guasu,CocoloÅŸi,Conkies,Corn chowder,Corn crab soup,Corn dog,Corn flakes,Corn fritter,Corn soup,Corn stew,Corn tortilla,Cornbread,Cou-cou,Creamed corn,Elote,Fufu,Ginataang mais,Grits,Hallaca,Hasty pudding,Hominy,Hot water corn bread,Humita,Hushpuppy,Johnnycake,KaÄçamak,Kenkey,Kuymak,Mais Moulin,MaÃ_z con hielo,Maja maÃ_z,Makki di roti,MÄƒmÄƒligÄƒ,MÄƒmÄƒligÄƒ Ã®n pÄƒturi,Mazamorra,Milho Frito,Mush,Nacatamal,Nachos,Nshima,Pap,Pashofa,Pasteles,Pastel de choclo,Piki,Pinole,Polenta,Popcorn,Pozol,Pozole,Pudding corn,Pupusa,Quesadillas,Sadza,Sagamite,Samp,Sloosh,Sopes,Sorullos,Spoonbread,Succotash,Taco,Tamale,Tostada,Ugali,Wotou,XarÃ©m,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley ,barley,Caro ,Inka ,malt,Beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oatmeal,oatmeal,oats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,Akki rotti[à_…à_•à_çà_•à_¿ à_°à__à_Ÿà_çà_Ÿà_¿],Albaloo poloØ¢Ù„Ø¨Ø§Ù„Ùˆ Ù_Ù„Ùˆ,rice,Arancini,Arroz borracho,Arroz caldo,Arroz chaufa,Arroz con gandules,Arroz con huevo frito,Arroz con pollo,Arroz de lisa,Arroz negro,Ba-wan,Baghali polo,Bhaat,Bi pong moun,Bibimbap,Bibingka,Biko,Biryani,Bisi bele bath,Bokkeumbap,Boribap,Boudin,BÃ¡nh chÆ°ng,Cabidela,Carri,Chalbap,Chao,Chazuke,Chimichanga,Chitranna,Ci fan tuan,Claypot chicken rice,Congee,Coriander rice,Curd rice,Curry rice,CÆ¡m táº¥m,Dal bhat,Dan Bauk,Dirty Rice,Dolma,Dosa,Fried rice,Fried rice,Gaifan,Gallo pinto,Gimbap,Glutinous rice cakes,Goto,Gumbo,Hainanese chicken rice,Hainanese curry rice,Havij Polo,Hoppin' John,Horchata,Htamin Baung,Idli,Imbul Kiribath,Indonesian rice table,Iskilip Dolmasi,Jambalaya,Jiuniang,Jollof rice,Juk,JÃ_baro,Kabsa,Kande Pohe,Kateh,Katsudon,Kedgeree,Ketupat,Khao kan chin,Khao kha mu,Khao khluk kapi,Khao lam,Khao man kai,Khao mok,Khao na pet,Khao niao mamuang,Khao phat kaeng kiao wan,Khao phat kaphrao,Khao phat nam liap,Khao tom mat,Khao tom pla,Kheer,Khichdi,Kiribath,Kongbap,Kushari,Lemang,Lime rice,Loco Moco,Locrio,Lokri,Loobia Polo,Lor Mai Ka,Lugaw,Lumpia,Maifun,Mandi,Mansaf,Maqluba,Masi,Moa'amar,Moffle,Mont di,Mont Lin-ma-ya,Mosaranna,Mujaddara,Nasi Campur,Nasi Dagang,Nasi goreng,Nasi kandar,Nasi kapau,Nasi kerabu,Nasi kuning,Nasi lemak,Nasi Padang,Nasi tumpang,Nasi uduk,Nurungji,Ofada rice,Okowa,Onigiri,Orez Shu'it,PabellÃ_n criollo,Paella,Pancit bihon,Panta bhat,Pares,Perde pilavÄ±,Phá»Ÿ,,,,,
Potatoes,,aloo,,,,,,,tater,potato,mash,,,,,,,,,,,,,,,Chips,,,,,,,,,,,,,,,,,,,,,,,,,hash,gnocchi,Gratin,,,,,,,,,,,,,,Kugel,,,Latka,Lefse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassava,Cassava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cane Sugar,Cane Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beet Sugar,Beet Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Pulses,legume,chickpea,garbanzo bean,Indian beechnut,beans,broad bean,lima bean,common bean[n 4],adzuki bean,black gram,"mung bean, green gram",Bambara groundnut,cowpea,lentil,fava bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
